,id
173,DB00461
174,DB00464
175,DB00465
176,DB00468
177,DB00470
178,DB00471
179,DB00472
180,DB00475
181,DB00476
182,DB00477
183,DB00480
184,DB00481
185,DB00482
186,DB00484
187,DB00489
188,DB00490
189,DB00491
190,DB00492
191,DB00494
192,DB00497
193,DB00499
194,DB00500
195,DB00501
196,DB00502
197,DB00508
198,DB00514
199,DB00515
200,DB00519
201,DB00521
202,DB00523
203,DB00524
204,DB00527
205,DB00530
206,DB00532
207,DB00533
208,DB00535
209,DB00536
210,DB00537
211,DB00540
212,DB00541
213,DB00542
214,DB00544
215,DB00545
216,DB00547
217,DB00548
218,DB00549
219,DB00550
220,DB00552
221,DB00554
222,DB00555
223,DB00557
224,DB00559
225,DB00563
226,DB00564
227,DB00569
228,DB00570
229,DB00571
230,DB00572
231,DB00573
232,DB00575
233,DB00580
234,DB00583
235,DB00584
236,DB00585
237,DB00586
238,DB00588
239,DB00590
240,DB00591
241,DB00593
242,DB00594
243,DB00596
244,DB00598
245,DB00603
246,DB00604
247,DB00605
248,DB00608
249,DB00611
250,DB00612
251,DB00619
252,DB00620
253,DB00622
254,DB00623
255,DB00624
256,DB00627
257,DB00630
258,DB00631
259,DB00635
260,DB00636
261,DB00637
262,DB00640
263,DB00641
264,DB00642
265,DB00644
266,DB00647
267,DB00650
268,DB00651
269,DB00652
270,DB00653
271,DB00654
272,DB00655
273,DB00657
274,DB00659
275,DB00661
276,DB00668
277,DB00669
278,DB00672
279,DB00674
280,DB00675
281,DB00678
282,DB00679
283,DB00682
284,DB00686
285,DB00687
286,DB00691
287,DB00692
288,DB00694
289,DB00695
290,DB00696
291,DB00697
292,DB00704
293,DB00706
294,DB00707
295,DB00710
296,DB00712
297,DB00714
298,DB00715
299,DB00716
300,DB00717
301,DB00721
302,DB00722
303,DB00724
304,DB00727
305,DB00731
306,DB00733
307,DB00734
308,DB00736
309,DB00741
310,DB00744
311,DB00745
312,DB00747
313,DB00749
314,DB00750
315,DB00754
316,DB00755
317,DB00757
318,DB00758
319,DB00759
320,DB00762
321,DB00763
322,DB00764
323,DB00765
324,DB00767
325,DB00771
326,DB00773
327,DB00775
328,DB00776
329,DB00783
330,DB00787
331,DB00788
332,DB00790
333,DB00794
334,DB00795
335,DB00800
336,DB00804
337,DB00806
338,DB00808
339,DB00810
340,DB00813
341,DB00814
342,DB00816
343,DB00819
344,DB00820
345,DB00822
346,DB00829
347,DB00831
348,DB00839
349,DB00843
350,DB00844
351,DB00846
352,DB00848
353,DB00851
354,DB00852
355,DB00853
356,DB00860
357,DB00861
358,DB00863
359,DB00864
360,DB00865
361,DB00868
362,DB00869
363,DB00871
364,DB00876
365,DB00880
366,DB00881
367,DB00882
368,DB00883
369,DB00884
370,DB00887
371,DB00889
372,DB00898
373,DB00899
374,DB00901
375,DB00903
376,DB00904
377,DB00905
378,DB00906
379,DB00907
380,DB00908
381,DB00909
382,DB00912
383,DB00915
384,DB00917
385,DB00918
386,DB00921
387,DB00924
388,DB00925
389,DB00927
390,DB00928
391,DB00929
392,DB00933
393,DB00936
394,DB00937
395,DB00938
396,DB00939
397,DB00945
398,DB00947
399,DB00949
400,DB00952
401,DB00953
402,DB00956
403,DB00957
404,DB00958
405,DB00959
406,DB00960
407,DB00963
408,DB00966
409,DB00968
410,DB00969
411,DB00975
412,DB00977
413,DB00982
414,DB00983
415,DB00987
416,DB00988
417,DB00989
418,DB00990
419,DB00991
420,DB00992
421,DB00993
422,DB00995
423,DB00996
424,DB00997
425,DB00998
426,DB00999
427,DB01001
428,DB01002
429,DB01003
430,DB01005
431,DB01006
432,DB01008
433,DB01009
434,DB01014
435,DB01016
436,DB01017
437,DB01018
438,DB01019
439,DB01020
440,DB01023
441,DB01029
442,DB01030
443,DB01033
444,DB01035
445,DB01039
446,DB01041
447,DB01042
448,DB01043
449,DB01045
450,DB01050
451,DB01058
452,DB01062
453,DB01063
454,DB01064
455,DB01067
456,DB01068
457,DB01069
458,DB01070
459,DB01072
460,DB01073
461,DB01075
462,DB01076
463,DB01080
464,DB01083
465,DB01085
466,DB01086
467,DB01088
468,DB01095
469,DB01098
470,DB01099
471,DB01101
472,DB01104
473,DB01105
474,DB01109
475,DB01110
476,DB01113
477,DB01115
478,DB01118
479,DB01120
480,DB01122
481,DB01124
482,DB01125
483,DB01128
484,DB01129
485,DB01132
486,DB01133
487,DB01136
488,DB01137
489,DB01142
490,DB01143
491,DB01148
492,DB01151
493,DB01156
494,DB01157
495,DB01161
496,DB01162
497,DB01165
498,DB01167
499,DB01169
500,DB01170
501,DB01173
502,DB01174
503,DB01175
504,DB01176
505,DB01177
506,DB01181
507,DB01182
508,DB01185
509,DB01186
510,DB01188
511,DB01189
512,DB01192
513,DB01193
514,DB01194
515,DB01195
516,DB01196
517,DB01197
518,DB01200
519,DB01202
520,DB01203
521,DB01204
522,DB01210
523,DB01214
524,DB01216
525,DB01217
526,DB01219
527,DB01221
528,DB01222
529,DB01223
530,DB01224
531,DB01225
532,DB01228
533,DB01229
534,DB01231
535,DB01232
536,DB01233
537,DB01234
538,DB01235
539,DB01238
540,DB01240
541,DB01241
542,DB01242
543,DB01244
544,DB01248
545,DB01254
546,DB01255
547,DB01259
548,DB01260
549,DB01261
550,DB01262
551,DB01267
552,DB01268
553,DB01275
554,DB01291
555,DB01294
556,DB01296
557,DB01320
558,DB01327
559,DB01351
560,DB01356
561,DB01359
562,DB01364
563,DB01367
564,DB01394
565,DB01395
566,DB01399
567,DB01400
568,DB01403
569,DB01406
570,DB01410
571,DB01427
572,DB01551
573,DB01576
574,DB01577
575,DB01579
576,DB01590
577,DB01623
578,DB01677
579,DB02546
580,DB03796
581,DB03904
582,DB04272
583,DB04844
584,DB04861
585,DB05259
586,DB06285
587,DB06287
588,DB09026
589,DB11750
590,DB13919
591,DB14513
592,D102100
593,D102300
594,D102400
595,D102500
596,D103100
597,D103780
598,D104130
599,D104300
600,D106400
601,D107320
602,D107550
603,D107650
604,D109100
605,D109200
606,D109350
607,D109543
608,D109800
609,D110100
610,D113610
611,D114480
612,D114500
613,D114550
614,D114580
615,D115000
616,D115195
617,D115300
618,D115645
619,D119500
620,D121200
621,D121201
622,D125310
623,D125320
624,D125600
625,D125700
626,D125850
627,D125851
628,D125852
629,D125853
630,D126200
631,D127350
632,D127750
633,D128101
634,D131200
635,D131300
636,D131440
637,D132090
638,D132100
639,D132300
640,D133239
641,D133600
642,D133690
643,D134430
644,D134500
645,D134510
646,D134520
647,D134750
648,D135550
649,D136200
650,D137215
651,D137400
652,D137580
653,D137750
654,D137760
655,D137800
656,D138800
657,D140300
658,D140600
659,D140850
660,D143100
661,D143465
662,D143500
663,D143880
664,D144010
665,D144110
666,D144650
667,D144700
668,D145100
669,D145200
670,D145500
671,D145590
672,D145600
673,D146110
674,D146255
675,D146500
676,D146850
677,D147480
678,D147530
679,D147540
680,D148000
681,D148100
682,D150600
683,D150699
684,D151400
685,D151590
686,D152700
687,D153880
688,D154276
689,D155100
690,D155600
691,D155601
692,D156000
693,D156190
694,D157300
695,D157700
696,D157950
697,D158280
698,D160300
699,D160750
700,D161900
701,D164230
702,D165150
703,D165199
704,D165720
705,D166300
706,D166710
707,D166760
708,D167320
709,D167870
710,D168100
711,D168600
712,D170900
713,D171300
714,D173200
715,D174800
716,D175100
717,D175505
718,D175510
719,D176800
720,D176807
721,D178600
722,D179600
723,D179800
724,D179830
725,D181000
726,D181460
727,D181500
728,D182000
729,D182280
730,D182830
731,D184700
732,D187950
733,D188030
734,D188050
735,D188470
736,D189600
737,D189800
738,D190300
739,D190310
740,D190400
741,D191390
742,D191800
743,D192000
744,D192200
745,D194070
746,D194200
747,D200170
748,D203700
749,D205700
750,D206200
751,D208085
752,D208230
753,D208300
754,D208550
755,D208700
756,D208750
757,D208920
758,D210050
759,D211980
760,D212050
761,D212110
762,D212112
763,D212130
764,D212140
765,D212350
766,D215140
767,D215470
768,D217150
769,D217200
770,D218200
771,D218800
772,D220120
773,D223350
774,D225740
775,D225755
776,D226000
777,D226150
778,D227300
779,D230450
780,D230800
781,D231090
782,D231200
783,D231900
784,D233810
785,D236000
786,D237450
787,D237500
788,D238800
789,D239350
790,D240400
791,D241100
792,D241519
793,D243200
794,D246300
795,D246400
796,D246470
797,D247200
798,D247640
799,D248190
800,D249100
801,D250790
802,D252320
803,D254200
804,D254400
805,D254450
806,D254500
807,D254770
808,D254800
809,D255900
810,D256370
811,D256700
812,D258360
813,D259050
814,D259500
815,D259660
816,D260480
817,D260570
818,D260970
819,D261515
820,D263300
821,D263800
822,D264120
823,D266120
824,D266600
825,D267730
826,D267740
827,D268220
828,D268320
829,D270960
830,D273300
831,D273800
832,D275000
833,D276300
834,D277350
835,D277440
836,D277460
837,D278200
838,D300125
839,D300232
840,D300491
841,D300494
842,D303110
843,D304790
844,D304900
845,D305300
846,D308205
847,D308350
848,D308600
849,D310468
850,D311360
851,D312910
852,D540000
853,D600082
854,D600131
855,D600263
856,D600351
857,D600496
858,D600631
859,D600634
860,D600803
861,D600807
862,D600808
863,D601004
864,D601042
865,D601367
866,D601518
867,D601608
868,D601626
869,D601665
870,D601682
871,D602068
872,D602080
873,D602522
874,D603165
875,D604278
876,D604416
877,D604827
878,D605021
879,D605055
880,D605839
881,D606703
882,D606798
883,D606842
884,D607225
885,D607459
886,D607498
887,D607499
888,D607501
889,D607508
890,D607516
891,D607554
892,D607628
893,D607631
894,D607681
895,D607682
896,D607685
897,D607850
898,D608033
899,D608088
900,D608105
901,D608217
902,D608320
903,D608583
904,D608622
905,P29475
906,P00797
907,P04818
908,P21917
909,P00325
910,P48169
911,P02787
912,P35462
913,P30519
914,P07101
915,Q01959
916,P01375
917,P09601
918,P14416
919,P11473
920,P02741
921,P37840
922,P43004
923,P98164
924,P01189
925,P01009
926,Q04760
927,P01042
928,P01584
929,P30793
930,Q96EN8
931,P27338
932,P21397
933,P27708
934,P50135
935,P01024
936,P28476
937,A8MPY1
938,Q86SZ2
939,P02786
940,P46939
941,Q16552
942,P49281
943,Q16595
944,Q92570
945,P32004
946,Q5S007
947,Q13163
948,P15428
949,P11766
950,P21728
951,P29401
952,P24530
953,P00734
954,P14780
955,P21554
956,Q07869
957,P28702
958,Q8IWU9
959,P34972
960,P21673
961,P07741
962,Q05940
963,P17752
964,P03372
965,P24046
966,P80365
967,P10275
968,P05091
969,P09172
970,Q99720
971,P48637
972,Q9UI33
973,P09619
974,P00747
975,P16442
976,P37231
977,Q9UBS5
978,P16083
979,P12821
980,P07327
981,P08912
982,P30531
983,P14679
984,P80404
985,P29474
986,Q08828
987,P08913
988,P08908
989,P46098
990,P39086
991,Q9NR19
992,Q9UM73
993,P08319
994,P00740
995,Q05586
996,Q06203
997,Q99259
998,P47869
999,P25103
1000,P32238
1001,Q13224
1002,P41143
1003,Q13936
1004,P17516
1005,P28223
1006,Q14957
1007,P00326
1008,P31644
1009,P28566
1010,P30837
1011,P23975
1012,Q07343
1013,P40394
1014,P28335
1015,P18405
1016,P04406
1017,P00352
1018,P08172
1019,P14778
1020,P31213
1021,P42330
1022,Q05329
1023,Q9Y233
1024,P41145
1025,P08253
1026,P00390
1027,P34969
1028,P10276
1029,P24298
1030,P04278
1031,P10827
1032,P17735
1033,P11498
1034,P49589
1035,P30536
1036,P12081
1037,P31645
1038,P01178
1039,Q12879
1040,Q16445
1041,P00533
1042,P35372
1043,P47901
1044,P04150
1045,P14867
1046,P28222
1047,P09488
1048,P30711
1049,Q13255
1050,Q13003
1051,Q14831
1052,O00222
1053,P06241
1054,P30559
1055,Q93088
1056,P43681
1057,P43220
1058,Q16568
1059,Q14289
1060,P19440
1061,Q00535
1062,P05231
1063,Q6W5P4
1064,P01133
1065,P27986
1066,P16220
1067,P10145
1068,P52788
1069,P17405
1070,Q14416
1071,P29460
1072,P01137
1073,Q03181
1074,P09038
1075,P06850
1076,P48051
1077,P98160
1078,P04275
1079,P01019
1080,P49841
1081,Q06124
1082,P01112
1083,P19838
1084,P01138
1085,P06881
1086,P43003
1087,P02649
1088,P27815
1089,P29218
1090,P32239
1091,O60760
1092,P02751
1093,P41594
1094,P13569
1095,P25942
1096,Q99808
1097,P04040
1098,P48736
1099,P17900
1100,Q13426
1101,P62508
1102,P21964
1103,P11511
1104,P42898
1105,O00519
1106,P00813
1107,P15104
1108,Q13427
1109,Q14832
1110,P18505
1111,P28472
1112,P47870
1113,P20815
1114,Q92769
1115,Q9UBN7
1116,P29371
1117,P41146
1118,P42336
1119,O00329
1120,P42338
1121,P07949
1122,P49146
1123,O00206
1124,P25929
1125,Q15761
1126,P22301
1127,P39905
1128,Q9NQX3
1129,Q9BY49
1130,P15289
1131,P18509
1132,P11509
1133,P04637
1134,Q92847
1135,P23560
1136,P33151
1137,P15328
1138,P09429
1139,P40763
1140,P01303
1141,P05181
1142,P20813
1143,O14649
1144,P30926
1145,P32297
1146,P30532
1147,Q05901
1148,P12104
1149,P18507
1150,Q8N1C3
1151,Q99928
1152,Q16620
1153,O95622
1154,P61626
1155,P45983
1156,Q16566
1157,Q9UQM7
1158,P01889
1159,P14550
1160,P07108
1161,P30084
1162,O14964
1163,P01106
1164,P01583
1165,P18510
1166,P01903
1167,O95264
1168,Q9UGI6
1169,Q9ULB1
1170,Q9C0B1
1171,Q16555
1172,Q8TAB3
1173,O43613
1174,P34998
1175,P80303
1176,P63244
1177,P42858
1178,Q9NYV7
1179,P21333
1180,Q8NFD2
1181,P29322
1182,Q9Y6R4
1183,Q9P0L2
1184,P32245
1185,P00738
1186,P06307
1187,P02452
1188,P20309
1189,P14060
1190,P24752
1191,P35610
1192,Q9NYK1
1193,P10415
1194,P35354
1195,P09455
1196,P16050
1197,P28845
1198,P34896
1199,P11926
1200,O15528
1201,P01130
1202,P04626
1203,P25101
1204,P02768
1205,P06401
1206,P49585
1207,P19429
1208,P01589
1209,P08235
1210,Q01718
1211,Q9UKV0
1212,P16410
1213,P07858
1214,P01579
1215,P06730
1216,P35222
1217,P51580
1218,P62937
1219,P60568
1220,P13500
1221,Q92887
1222,P05362
1223,P04156
1224,P00450
1225,P42574
1226,Q9NR96
1227,P61586
1228,P48449
1229,P09874
1230,P14174
1231,Q96AZ6
1232,P32119
1233,P19021
1234,P47989
1235,O95864
1236,Q9UGM6
1237,O00305
1238,Q00653
1239,P00441
1240,P27695
1241,P01911
1242,Q8WTS6
1243,Q13363
1244,P01270
1245,P00403
1246,O15392
1247,Q9NPF7
1248,Q8NET8
1249,P05019
1250,P10644
1251,Q9NZQ7
1252,P10636
1253,Q15722
1254,P05112
1255,P35869
1256,P23458
1257,P01920
1258,P51178
1259,P46459
1260,P49913
1261,P35398
1262,Q15125
1263,P07288
1264,F7VJQ1
1265,P02765
1266,P04003
1267,P35858
1268,P15924
1269,P46940
1270,Q13153
1271,Q9H4B4
1272,Q15139
1273,Q96BR1
1274,P11532
1275,P43657
1276,P41222
1277,Q9Y487
1278,P55211
1279,O15123
1280,P19113
1281,Q9UI32
1282,P00488
1283,P35228
1284,P30542
1285,P00519
1286,P23219
1287,P35916
1288,P17948
1289,Q9UPY5
1290,P06213
1291,O60931
1292,P04049
1293,P13716
1294,P30556
1295,P34995
1296,P11836
1297,P51843
1298,P10912
1299,P12277
1300,Q13639
1301,P14618
1302,P11229
1303,P17707
1304,O76082
1305,P51606
1306,Q9H244
1307,P06746
1308,O95477
1309,P22888
1310,P49419
1311,P35498
1312,Q9H3S4
1313,Q02218
1314,P15692
1315,P20132
1316,P49916
1317,Q9UJ68
1318,P08588
1319,O76074
1320,P56937
1321,P45381
1322,Q8WTV0
1323,P14061
1324,O15374
1325,P18858
1326,Q13564
1327,Q09428
1328,P56556
1329,P23381
1330,P06858
1331,P05121
1332,P09917
1333,P00491
1334,Q9Y478
1335,O76054
1336,P08473
1337,P14207
1338,P01008
1339,P05089
1340,P30518
1341,Q13258
1342,P31153
1343,Q16795
1344,P00480
1345,P02753
1346,Q99714
1347,P00918
1348,P35520
1349,P49286
1350,P00374
1351,P00395
1352,P02766
1353,P25098
1354,P05093
1355,P20648
1356,Q96I99
1357,P63098
1358,P43116
1359,P35968
1360,P04070
1361,P23945
1362,Q9GZT4
1363,P60880
1364,P08246
1365,P02794
1366,P50416
1367,Q00266
1368,P51659
1369,P13196
1370,P19793
1371,P0DP23
1372,P55017
1373,P04083
1374,P04181
1375,P00338
1376,P22303
1377,P31749
1378,P30988
1379,O60669
1380,P29466
1381,Q96RQ3
1382,Q96A70
1383,O15427
1384,Q9UIC8
1385,P37023
1386,P30939
1387,O95665
1388,O60706
1389,Q16718
1390,Q16739
1391,O43497
1392,P16473
1393,P41252
1394,Q9Y5K3
1395,P35348
1396,P03886
1397,P41180
1398,O94788
1399,P48039
1400,P20701
1401,P28329
1402,P04424
1403,O60391
1404,P03905
1405,Q12791
1406,Q9NWM0
1407,Q04609
1408,P18089
1409,P04035
1410,Q14534
1411,O43772
1412,P40925
1413,P12235
1414,Q9Y617
1415,P11586
1416,P52895
1417,P18031
1418,Q13085
1419,Q8TDS4
1420,P42261
1421,Q8TCU5
1422,P14784
1423,P19235
1424,P03891
1425,P47712
1426,P17181
1427,P53985
1428,P51787
1429,P20138
1430,O95169
1431,Q13131
1432,Q16515
1433,O14842
1434,P05230
1435,P14902
1436,P07550
1437,P62942
1438,O95342
1439,Q13946
1440,P12314
1441,Q03405
1442,O14556
1443,Q99707
1444,P09622
1445,Q15822
1446,P53004
1447,Q9UI09
1448,P78540
1449,Q9UBK8
1450,O94760
1451,Q9P2J5
1452,P14324
1453,P22033
1454,P40926
1455,P33527
1456,Q92731
1457,Q99062
1458,Q9UHC9
1459,Q9Y2Q3
1460,P21266
1461,P09211
1462,P78417
1463,P07203
1464,O43708
1465,O94925
1466,Q16099
1467,P42262
1468,P48058
1469,P42263
1470,O43451
1471,P07947
1472,P06239
1473,P42081
1474,P33681
1475,P17787
1476,P07333
1477,P27487
1478,P01031
1479,P08069
1480,O60895
1481,P11086
1482,Q02750
1483,P05771
1484,P29972
1485,P22102
1486,Q06520
1487,P26358
1488,P00749
1489,O95237
1490,O75015
1491,P20810
1492,P35558
1493,P01023
1494,P51681
1495,P05451
1496,Q99519
1497,P08581
1498,P62993
1499,P61073
1500,P03956
1501,P10997
1502,P02652
1503,P28482
1504,P29274
1505,P02763
1506,P01574
1507,P25116
1508,P08174
1509,P27169
1510,O75891
1511,P02778
1512,P00156
1513,P07339
1514,P07225
1515,P50406
1516,P20333
1517,P34913
1518,O75469
1519,P49327
1520,P45452
1521,Q9Y5N1
1522,P17936
1523,P13501
1524,P35568
1525,P04062
1526,P29074
1527,Q9BYF1
1528,P32418
1529,P56817
1530,Q99497
1531,Q7L0J3
1532,P02788
1533,Q16853
1534,P31930
1535,P29965
1536,P99999
1537,P08311
1538,Q13464
1539,Q16539
1540,P03951
1541,Q8NER1
1542,P24385
1543,P08183
1544,P21980
1545,P04629
1546,P05412
1547,P15502
1548,P43005
1549,P11166
1550,Q13231
1551,P27361
1552,O60858
1553,Q9UNQ0
1554,P16581
1555,P05164
1556,O60733
1557,P15144
1558,Q15111
1559,P06493
1560,P80188
1561,P00750
1562,P11413
1563,P23297
1564,Q9UM07
1565,P17302
1566,P21589
1567,P53779
1568,P11021
1569,P48651
1570,P11137
1571,P15309
1572,P19367
1573,P63000
1574,P16070
1575,P19320
1576,P08254
1577,Q16873
1578,P07900
1579,P14210
1580,O75762
1581,P16870
1582,Q08345
1583,P08697
1584,P01100
1585,P17252
1586,P36969
1587,P19438
1588,P02774
1589,P48061
1590,O14920
1591,P05106
1592,P98170
1593,O60603
1594,P45844
1595,P78559
1596,P31751
1597,P63104
1598,P14410
1599,P04271
1600,P13726
1601,P30086
1602,P22894
1603,P14735
1604,P15559
1605,Q08257
1606,O15439
1607,P28161
1608,P08842
1609,P06744
1610,P08100
1611,P22455
1612,P80511
1613,P05113
1614,P68400
1615,P02743
1616,P31939
1617,Q10588
1618,Q9P2W7
1619,O75874
1620,P68363
1621,Q06187
1622,Q08499
1623,Q9NP99
1624,P43403
1625,P43405
1626,P17931
1627,P68371
1628,P49137
1629,P36959
1630,P68366
1631,P30405
1632,P08631
1633,P50579
1634,P35030
1635,Q92876
1636,P55055
1637,P06132
1638,P14555
1639,P25774
1640,Q9Y286
1641,Q9Y5Y6
1642,P00751
1643,P30305
1644,P53355
1645,Q9HAN9
1646,P49759
1647,Q16775
1648,P55210
1649,P00746
1650,P52732
1651,P37173
1652,Q05315
1653,P08238
1654,P51161
1655,Q16881
1656,O00408
1657,P00736
1658,P02745
1659,P08637
1660,P12318
1661,P11047
1662,P25391
1663,P27797
1664,Q07954
1665,P13727
1666,P32927
1667,P34741
1668,P06400
1669,P29120
1670,Q16270
1671,P02461
1672,P11362
1673,P22607
1674,P07711
1675,P23763
1676,P63027
1677,Q01362
1678,P35237
1679,P09486
1680,P48147
1681,Q6ZQY3
1682,O14939
1683,P06276
1684,Q13393
1685,Q9HBH1
1686,P50750
1687,P11802
1688,P21452
1689,Q7L266
1690,Q07075
1691,Q9H4Y5
1692,Q9NY59
1693,Q6IB77
1694,Q9ULC6
1695,Q9Y2J8
1696,P67775
1697,P23284
1698,P45877
1699,Q96I59
1700,P36544
1701,P49721
1702,P10635
1703,P16435
1704,Q13547
1705,O15379
1706,Q16665
1707,P43115
1708,P20292
1709,O00459
1710,Q92569
1711,P42345
1712,P41231
1713,P08865
1714,O14672
1715,O60674
1716,Q13093
1717,P43490
1718,Q05655
1719,P24394
1720,P05177
1721,P35225
1722,P03952
1723,P32320
1724,Q01726
1725,O14746
1726,P05155
1727,Q5T4S7
1728,Q96EB6
1729,P07237
1730,P21796
1731,P10147
1732,Q15185
1733,P04141
1734,P42768
1735,P08684
1736,P23141
1737,P11712
1738,P08887
1739,P51687
1740,P80075
1741,P06703
1742,Q6UWP2
1743,P15531
1744,Q16698
1745,O76083
1746,P49763
1747,Q9Y691
1748,P15086
1749,P22392
1750,P07998
1751,Q03721
1752,Q16769
1753,P78368
1754,P30291
1755,P07384
1756,Q13285
1757,Q9NXA8
1758,P35625
1759,Q86VB7
1760,P48357
1761,O96017
1762,O14757
1763,P05305
1764,P41597
1765,Q9NNW7
1766,P51671
1767,P05067
1768,Q96BI3
1769,Q9NZ42
1770,Q13443
1771,P43235
1772,P55786
1773,Q92843
1774,P50052
1775,Q02156
1776,P04792
1777,O14793
1778,Q15116
1779,Q99527
1780,Q9H6X2
1781,P02647
1782,Q14790
1783,Q14956
1784,O43174
1785,P04439
1786,P40933
1787,P01308
1788,P01127
1789,P15391
1790,P53420
1791,P15941
1792,P15169
1793,Q07820
1794,P49674
1795,P30411
1796,Q00613
1797,Q96QU6
1798,P11597
1799,O14788
1800,Q9NR97
1801,P56524
1802,P30874
1803,P32745
1804,P33261
1805,P05108
1806,P22309
1807,P25024
1808,P52209
1809,P05556
1810,P06756
1811,Q9NRF9
1812,P11717
1813,Q12908
1814,Q8TCC7
1815,P19652
1816,P09237
1817,P50281
1818,Q9Y5R2
1819,P11474
1820,Q8NEB9
1821,Q08462
1822,Q13526
1823,P48552
1824,P53350
1825,P30153
1826,P78536
1827,P17612
1828,P13051
1829,P45984
1830,Q99933
1831,P11142
1832,Q13133
1833,P36897
1834,Q9UQF2
1835,P42892
1836,P62136
1837,P21281
1838,Q15078
1839,P61313
1840,O75460
1841,P25705
1842,P06576
1843,P60174
1844,Q14994
1845,Q15118
1846,P28072
1847,P09466
1848,Q9Y6M4
1849,Q494W8
1850,P00414
1851,P20674
1852,P10176
1853,P14854
1854,P04054
1855,Q13627
1856,P41235
1857,P98155
1858,P0CG48
1859,O00141
1860,P14920
1861,P29597
1862,P08758
1863,P49862
1864,P06396
1865,Q14494
1866,P23528
1867,O75116
1868,P06731
1869,Q08209
1870,P15151
1871,P61160
1872,P13639
1873,P05187
1874,P07948
1875,P78362
1876,Q8IU85
1877,O00182
1878,P09848
1879,Q9NWZ3
1880,Q92793
1881,O14792
1882,O43612
1883,Q15796
1884,P04179
1885,O75390
1886,P08670
1887,P20472
1888,P22694
1889,Q8IWL2
1890,P11226
1891,P51149
1892,P04053
1893,P17600
1894,P63096
1895,P20645
1896,Q99798
1897,P10600
1898,Q14643
1899,P78352
1900,P48735
1901,P68104
1902,P62837
1903,P20339
1904,P50897
1905,Q9NTG7
1906,P29323
1907,P09104
1908,P62166
1909,P62491
1910,P62826
1911,P0CG47
1912,O14874
1913,P55072
1914,Q92993
1915,O60493
1916,P55789
1917,P78330
1918,Q01082
1919,Q13838
1920,P13611
1921,P60953
1922,Q9BVM4
1923,Q96QT4
1924,Q9UL54
1925,Q9Y6B6
1926,P41091
1927,Q9Y646
1928,P30041
1929,P31327
1930,P00748
1931,P54219
1932,P0C0L4
1933,P0C0L5
1934,Q9UQQ2
1935,Q14721
1936,P28065
1937,P42685
1938,P11274
1939,P36507
1940,P31639
1941,Q14145
1942,Q15303
1943,Q7RTT9
1944,P48065
1945,P02795
1946,P13762
1947,Q30154
1948,Q9HAB3
1949,Q13315
1950,O00264
1951,P04839
1952,P14598
1953,P15153
1954,Q9H2S1
1955,P54646
1956,Q14571
1957,Q14573
1958,Q9NP56
1959,O95263
1960,P15336
1961,P18848
1962,P18850
1963,Q07021
1964,Q6UX15
1965,P98066
1966,P10599
1967,P60709
1968,P63261
1969,P05090
1970,Q15493
1971,Q92736
1972,P28907
1973,P17676
